Index,0 [0x7][0x24],1 [0x3][0x28],2 [0x3][0x4],3 [0x3][0xc],4 [0x3][0x14],5 [0x5][0x0],6 [0x5][0x8],7 [0x5][0x10],8 [0x3][0x5],9 [0x3][0xd],10 [0x3][0x15],11 [0x5][0x2],12 [0x5][0xa],13 [0x5][0x12],14 [0x3][0x6],15 [0x3][0xe],16 [0x3][0x16],17 [0x19][0x7],18 [0x19][0xf],19 [0x19][0x17],20 [0x0][0x18],21 [0x0][0x1c],22 [0x0][0x20]
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,false,false,false,"강조 대화상황에서 회화 시 움직임","기록 대화상황에서 연설 반복","기분 나쁜 대화상황에서의 선 상태로 분노 회화 반복"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"멍~","후~","하~"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"아~, 잘 먹었다! ","이 여관 음식 정말 맛있네!","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,true,true,false,"기본 서기 및 서기 전용 반응 테스트<br>(아이템 건네기)","'행동 반응 인사'로 이행합니다.","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,true,true,false,"기본 서기 및 서기 전용 반응 테스트<br>(아이템 받기)","'행동 반응 생각'으로 이행합니다.","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,true,true,false,"기본 서기 및 서기 전용 반응 테스트<br>(아이템 회화)","'행동 반응 분노'로 이행합니다.","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"기본 서기 및 서기 전용 반응 테스트<br>기본 바닥 앉기→기본 서기→서기 전용 반응","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"기본 서기 및 서기 전용 반응 테스트<br>멋지게 서기→기본 서기→서기 전용 반응","0","0"
589833,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"이곳은 숲과 정령의 은총으로 세워진 신성한 도시 그리다니아.<br>위대한 자연에 항상 감사하며 숙연한 마음가짐으로 행동하라.","안녕하십니까!","테스트를 시작하겠습니다"
589834,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"기본 서기 및 서기 전용 반응 테스트<br>고유→기본 서기→서기 전용 반응","0","0"
589835,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"하늘이 보이네요……! 대단해요!","0","0"
589836,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"보시다시피 저는 시인입니다.","한 곡 불러드릴까요?","0"
589837,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"나는 퀘스트 의뢰밖에<br>할 줄 모르는 ENPC다.","0","0"
589838,0,1,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,false,false,false,"페이지 넘기기 테스트를 실시하겠습니다. 1페이지.","2페이지.","3페이지."
589839,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"행 바꾸기 테스트를 실시하겠습니다.<br>행 바꾸기를 완료했습니다.","0","0"
589840,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"……이봐, 알고 있어?<br>메구로라는 땅에<br>정말 잘하는 고깃집이 있다는군.","0","0"
589841,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"기본 대화 테스트입니다.","0","0"
589842,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"기본 대화 테스트이어요!","0","0"
589843,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"기본 대화 테스트일세.","0","0"
589844,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"미안, 지금 좀 바쁘거든.<br>잠깐 기다려줄래?","……응? 처음 보는 얼굴이네.<br>그리다니아에 막 도착했다면<br>칼라인 카페에 가서 모험가 등록부터 하는 게 좋을 거야.","0"
589845,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"네놈이 지금 당장 해야할 일은<br>모험가 길드 '칼라인 카페'에 가서<br>마스터인 '뮨'에게 말을 거는 거다.","모험가로서 숲의 도시 그리다니아에 발을 들였다면<br>우리 귀곡부대가 내리는 지시에 따라야 한다.<br>자, 알았으면 얼른 가.","0"
589846,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"또 '모험가'로군.<br>그리다니아에도 외지인이 부쩍 늘었어…….","'모험가'가 일을 도와주는 건 고맙지만<br>낯선 얼굴이 많이 보이면 아무래도 불안하거든.","0"
589847,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"이곳은 숲과 정령의 은총으로 세워진 신성한 도시 그리다니아.<br>위대한 자연에 항상 감사하며 숙연한 마음가짐으로 행동하라.","0","0"
589848,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"여기는 숲과 정령의 은총으로 세워진 신성한 도시 그리다니아.","숲 밖에서 온 방문자여.<br>쓸데없는 소동을 일으켜 주민을 위협하지 않도록 하라.","0"
589849,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"그리다니아 놈들은<br>눈앞에 있는 우리 '모험가'보다<br>보이지도 않는 '정령'을 더 신뢰하는 모양이야.","0","0"
589850,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"그거 알아? '정령'은 화나게 하면 모습을 드러낸대.<br>꼭 한번 직접 보고 싶군.","0","0"
589851,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"'칼라인 카페'에 온 걸 환영해.<br>여기는 그리다니아에 모인 모험가들이 쉬어가는 곳.","제7재해로 인해 상처 입은 숲을 치유하려면<br>너희 모험가의 도움이 필요하지.<br>부디 우리의 힘이 되어줘.","이방인을 곱지 않은 시선으로 보는 사람도 있지만<br>그들도 생각을 바꾸려고 노력하고 있어…….<br>너희가 좋은 계기가 되어주길 기대할게."
589852,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589853,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
