Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x3][0x14],10 [0x19][0x15]
1000000,"",0,"",0,0,1,0,0,"",3,false
1000001,"",0,"",0,0,0,0,0,"",0,false
1000002,"",0,"",0,0,0,0,0,"",0,false
1000003,"",0,"",0,0,0,0,0,"",0,false
1000004,"",0,"",0,0,0,0,0,"",0,false
1000005,"",0,"",0,0,0,0,0,"",0,false
1000006,"",0,"",0,0,0,0,0,"",0,false
1000007,"",0,"",0,0,0,0,0,"",0,false
1000008,"",0,"",0,0,0,0,0,"",0,false
1000009,"",0,"",0,0,0,0,0,"",0,false
1000010,"",0,"",0,0,0,0,0,"",0,false
1000011,"",0,"",0,0,0,0,0,"",0,false
1000012,"",0,"",0,0,0,0,0,"",0,false
1000013,"",0,"",0,0,0,0,0,"",0,false
1000014,"",0,"",0,0,0,0,0,"",0,false
1000015,"",0,"",0,0,0,0,0,"",0,false
1000016,"",0,"",0,0,0,0,0,"",0,false
1000017,"",0,"",0,0,0,0,0,"",0,false
1000018,"",0,"",0,0,0,0,0,"",0,false
1000019,"",0,"",0,0,0,0,0,"",0,false
1000020,"",0,"",0,0,0,0,0,"",0,false
1000021,"",0,"",0,0,0,0,0,"",0,false
1000022,"",0,"",0,0,0,0,0,"",0,false
1000023,"",0,"",0,0,0,0,0,"",0,false
1000024,"",0,"",0,0,0,0,0,"",0,false
1000025,"",0,"",0,0,0,0,0,"",0,false
1000026,"",0,"",0,0,0,0,0,"",0,false
1000027,"",0,"",0,0,0,0,0,"",0,false
1000028,"",0,"",0,0,0,0,0,"",0,false
1000029,"",0,"",0,0,0,0,0,"",0,false
1000030,"",0,"",0,0,0,0,0,"",0,false
1000031,"",0,"",0,0,0,0,0,"",0,false
1000032,"",0,"",0,0,0,0,0,"",0,false
1000033,"",0,"",0,0,0,0,0,"",0,false
1000034,"",0,"",0,0,0,0,0,"",0,false
1000035,"",0,"",0,0,0,0,0,"",0,false
1000036,"",0,"",0,0,0,0,0,"",0,false
1000037,"",0,"",0,0,0,0,0,"",0,false
1000038,"",0,"",0,0,0,0,0,"",0,false
1000039,"",0,"",0,0,0,0,0,"",0,false
1000040,"",0,"",0,0,0,0,0,"",0,false
1000041,"",0,"",0,0,0,0,0,"",0,false
1000042,"",0,"",0,0,0,0,0,"",0,false
1000043,"",0,"",0,0,0,0,0,"",0,false
1000044,"",0,"",0,0,0,0,0,"",0,false
1000045,"",0,"",0,0,0,0,0,"",0,false
1000046,"",0,"",0,0,0,0,0,"",0,false
1000047,"",0,"",0,0,0,0,0,"",0,false
1000048,"",0,"",0,0,0,0,0,"",0,false
1000049,"",0,"",0,0,0,0,0,"",0,false
1000050,"",0,"",0,0,0,0,0,"",0,false
1000051,"",0,"",0,0,0,0,0,"",0,false
1000052,"",0,"",0,0,0,0,0,"",0,false
1000053,"",0,"",0,0,0,0,0,"",0,false
1000054,"",0,"",0,0,0,0,0,"",0,false
1000055,"",0,"",0,0,0,0,0,"",0,false
1000056,"",0,"",0,0,0,0,0,"",0,false
1000057,"",0,"",0,0,0,0,0,"",0,false
1000058,"",0,"",0,0,0,0,0,"",0,false
1000059,"",0,"",0,0,0,0,0,"",0,false
1000060,"",0,"",0,0,0,0,0,"",0,false
1000061,"",0,"",0,0,0,0,0,"",0,false
1000062,"",0,"",0,0,0,0,0,"",0,false
1000063,"배달부 모그리",0,"",0,0,1,0,0,"",3,true
1000064,"",0,"",0,0,0,0,0,"",0,false
1000065,"",0,"",0,0,0,0,0,"",0,false
1000066,"",0,"",0,0,0,0,0,"",0,false
1000067,"",0,"",0,0,0,0,0,"",0,false
1000068,"",0,"",0,0,0,0,0,"",0,false
1000069,"",0,"",0,0,0,0,0,"",0,false
1000070,"",0,"",0,0,0,0,0,"",0,false
1000071,"",0,"",0,0,0,0,0,"",0,false
1000072,"",0,"",0,0,0,0,0,"",0,false
1000073,"",0,"",0,0,0,0,0,"",0,false
1000074,"",0,"",0,0,0,0,0,"",0,false
1000075,"",0,"",0,0,0,0,0,"",0,false
1000076,"",0,"",0,0,0,0,0,"",0,false
1000077,"",0,"",0,0,0,0,0,"",0,false
1000078,"",0,"",0,0,0,0,0,"",0,false
1000079,"",0,"",0,0,0,0,0,"",0,false
1000080,"",0,"",0,0,1,0,0,"",3,false
1000081,"",0,"",0,0,1,0,0,"",3,false
1000082,"",0,"",0,0,1,0,0,"",3,false
1000083,"",0,"",0,0,1,0,0,"",3,false
1000084,"",0,"",0,0,1,0,0,"",3,false
1000085,"",0,"",0,0,1,0,0,"",3,false
1000086,"",0,"",0,0,1,0,0,"",3,false
1000087,"",0,"",0,0,1,0,0,"",3,false
1000088,"",0,"",0,0,1,0,0,"",3,false
1000089,"",0,"",0,0,1,0,0,"",3,false
1000090,"",0,"",0,0,1,0,0,"",3,false
1000091,"",0,"",0,0,1,0,0,"",3,false
1000092,"",0,"",0,0,1,0,0,"",3,false
1000093,"",0,"",0,0,1,0,0,"",3,false
1000094,"",0,"",0,0,1,0,0,"",3,false
1000095,"",0,"",0,0,1,0,0,"",3,false
1000096,"",0,"",0,0,1,0,0,"",3,false
1000097,"",0,"",0,0,1,0,0,"",3,false
1000098,"",0,"",0,0,1,0,0,"",3,false
1000099,"",0,"",0,0,1,0,0,"",3,false
1000100,"뮨",0,"",0,0,1,0,0,"",3,true
1000101,"공트랑",0,"",0,0,1,0,0,"길드 의뢰",3,true
1000102,"앙투아노",0,"",0,0,1,0,0,"여관 주인",3,true
1000103,"",0,"",0,0,0,0,0,"",0,false
1000104,"가일스",0,"",0,0,1,0,0,"",5,false
1000105,"티어니",0,"",0,0,1,0,0,"길드 의뢰",3,true
1000106,"리오넬레",0,"",0,0,1,0,0,"탑승 수속",3,true
1000107,"히다",0,"",0,0,1,0,0,"",3,false
1000108,"",0,"",0,0,1,0,0,"",5,false
1000109,"입국 안내원",0,"",0,0,1,0,0,"",3,true
1000110,"",0,"",0,0,1,0,0,"",5,false
1000111,"",0,"",0,0,1,0,0,"",5,false
1000112,"",0,"",0,0,1,0,0,"",5,false
1000113,"",0,"",0,0,1,0,0,"상인",5,false
1000114,"",0,"",0,0,1,0,0,"",5,false
1000115,"",0,"",0,0,1,0,0,"",5,false
1000116,"",0,"",0,0,1,0,0,"",5,false
1000117,"",0,"",0,0,1,0,0,"",5,false
1000118,"",0,"",0,0,1,0,0,"",5,false
1000119,"",0,"",0,0,1,0,0,"",5,false
1000120,"",0,"",0,0,1,0,0,"",5,false
1000121,"",0,"",0,0,1,0,0,"",5,false
1000122,"오노랭",0,"",0,0,1,0,0,"",3,false
1000123,"베르테낭",0,"",0,0,1,0,0,"",3,false
1000124,"",0,"",0,0,1,0,0,"",5,false
1000125,"게이르하드",0,"",0,0,1,0,0,"",3,false
1000126,"",0,"",0,0,1,0,0,"",5,false
1000127,"울타",0,"",0,0,1,0,0,"",3,false
1000128,"체임벌린",0,"",0,0,1,0,0,"",3,true
1000129,"솔류",0,"",0,0,1,0,0,"",3,false
1000130,"",0,"",0,0,1,0,0,"",5,false
1000131,"",0,"",0,0,1,0,0,"",5,false
1000132,"",0,"",0,0,1,0,0,"",5,false
1000133,"",0,"",0,0,1,0,0,"",5,false
1000134,"에스트를랭",0,"",0,0,1,0,0,"",3,false
1000135,"",0,"",0,0,1,0,0,"",5,false
1000136,"싱구르",0,"",0,0,1,0,0,"초코보 관리인",3,true
1000137,"",0,"",0,0,1,0,0,"",5,false
1000138,"",0,"",0,0,1,0,0,"",5,false
1000139,"아달하드",0,"",0,0,1,0,0,"",3,false
1000140,"파르아르",0,"",0,0,1,0,0,"",3,false
1000141,"메마마",0,"",0,0,1,0,0,"",3,false
1000142,"",0,"",0,0,1,0,0,"",5,false
1000143,"",0,"",0,0,1,0,0,"",5,false
1000144,"",0,"",0,0,1,0,0,"",5,false
1000145,"",0,"",0,0,1,0,0,"",5,false
1000146,"베르나데트",0,"",0,0,1,0,0,"",3,false
1000147,"",0,"",0,0,1,0,0,"",5,false
1000148,"코그",0,"",0,0,1,0,0,"목수 길드 접수원",3,false
1000149,"메라 파메라",0,"",0,0,1,0,0,"",3,false
1000150,"",0,"",0,0,1,0,0,"",5,false
1000151,"",0,"",0,0,1,0,0,"",5,false
1000152,"",0,"",0,0,1,0,0,"",5,false
1000153,"베아탱",0,"",0,0,1,0,0,"길드마스터",3,true
1000154,"하트포드",0,"",0,0,1,0,0,"",3,false
1000155,"",0,"",0,0,1,0,0,"",5,false
1000156,"에단",0,"",0,0,1,0,0,"",3,false
1000157,"",0,"",0,0,1,0,0,"",5,false
1000158,"",0,"",0,0,1,0,0,"",5,false
1000159,"니시아",0,"",0,0,1,0,0,"",3,true
1000160,"",0,"",0,0,1,0,0,"",5,false
1000161,"오닐리",0,"",0,0,1,0,0,"",3,false
1000162,"니콜리오",0,"",0,0,1,0,0,"",3,false
1000163,"",0,"",0,0,1,0,0,"",5,false
1000164,"",0,"",0,0,1,0,0,"",5,false
1000165,"보급 담당관",0,"",0,0,1,0,0,"자유부대",3,true
1000166,"",0,"",0,0,1,0,0,"",3,false
1000167,"",0,"",0,0,1,0,0,"",3,false
1000168,"쌍사당 대령 보르셀",0,"",0,0,1,0,0,"",3,true
1000169,"",0,"",0,0,1,0,0,"",5,false
1000170,"카밀랭",0,"",0,0,1,0,0,"",3,false
1000171,"프랑슈몽티오",0,"",0,0,1,0,0,"문지기",3,true
1000172,"포르몽",0,"",0,0,1,0,0,"",3,false
1000173,"그림발드",0,"",0,0,1,0,0,"",3,false
1000174,"",0,"",0,0,1,0,0,"",5,false
1000175,"",0,"",0,0,1,0,0,"",5,false
1000176,"",0,"",0,0,1,0,0,"",5,false
1000177,"",0,"",0,0,1,0,0,"",5,false
1000178,"",0,"",0,0,1,0,0,"",5,false
1000179,"피모 넬하",0,"",0,0,1,0,0,"",3,false
1000180,"키니손",0,"",0,0,1,0,0,"",3,false
1000181,"헤럴",0,"",0,0,1,0,0,"",3,false
1000182,"",0,"",0,0,1,0,0,"",5,false
